City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,puerto ayora,-0.7393,-90.3518,28.98,90,61,5.81,EC,1675702478
135,flinders,-34.5833,150.8552,22.32,86,100,0.89,AU,1675702539
136,faanui,-16.4833,-151.75,27.4,74,3,7.43,PF,1675702539
137,tanabe,33.7333,135.3667,8.49,45,100,1.94,JP,1675702539
138,vardo,70.3705,31.1107,-1.01,86,75,12.35,NO,1675702540
139,nanortalik,60.1432,-45.2371,-9.56,84,100,3.11,GL,1675702368
140,abingdon,51.6711,-1.2828,8.18,67,0,0.51,GB,1675702541
141,dikson,73.5069,80.5464,-21.41,99,100,1.26,RU,1675702541
142,castro,-24.7911,-50.0119,26.07,49,54,2.25,BR,1675702249
143,bambous virieux,-20.3428,57.7575,27.14,78,75,3.6,MU,1675702292
144,nador,35.174,-2.9287,15.14,55,20,3.09,MA,1675702542
145,balezino,57.9796,53.0106,-20.48,100,56,1.53,RU,1675702542
146,khatanga,71.9667,102.5,-40.56,100,40,1.79,RU,1675702543
147,adrar,20.5022,-10.0711,24.54,14,82,2.57,MR,1675702543
148,ilek,51.5271,53.3831,-17.86,99,71,1.48,RU,1675702544
149,iquique,-20.2208,-70.1431,24.97,72,93,4.04,CL,1675702513
150,yulara,-25.2406,130.9889,23.92,18,0,3.75,AU,1675702544
151,aswan,24.0934,32.907,21.61,26,0,2.57,EG,1675702333
152,crotone,39.0851,17.1178,4.0,70,75,5.66,IT,1675702545
153,oranjemund,-28.55,16.4333,19.59,88,49,4.98,NA,1675702522
154,novozavidovskiy,56.55,36.4333,-13.2,98,56,1.62,RU,1675702545
155,kermanshah,34.3142,47.065,5.5,55,40,8.23,IR,1675702377
156,jalu,29.0331,21.5482,13.34,48,83,6.99,LY,1675702546
157,hervey bay,-25.2986,152.8535,24.78,72,4,6.85,AU,1675702547
158,ribeira grande,38.5167,-28.7,16.22,63,20,12.52,PT,1675702305
159,bilma,18.6853,12.9164,23.26,10,84,4.66,NE,1675702367
160,port pirie,-33.1833,138.0167,22.48,40,0,2.78,AU,1675702547
161,atikokan,48.7555,-91.6216,-2.85,86,91,5.38,CA,1675702548
162,tsumeb,-19.2333,17.7167,23.15,70,100,3.02,NA,1675702549
